host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
956883,2011-08-11,"Seattle, Washington, United States",within a few hours,96%,100%,f,Queen Anne,3.0,3.0,"['email', 'phone', 'reviews', 'kba']",t,t
8534462,2013-08-30,"Seattle, Washington, United States",within an hour,100%,100%,t,Belltown,48.0,48.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
1623580,2012-01-18,"Seattle, Washington, United States",within an hour,100%,100%,f,Belltown,12.0,12.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
18751883,2014-07-23,"Seattle, Washington, United States",within a day,80%,,f,Lower Queen Anne,1.0,1.0,"['email', 'phone', 'google', 'reviews']",t,f
5506237,2013-03-17,"Seattle, Washington, United States",within an hour,100%,100%,f,Pike Place Market,3.0,3.0,"['email', 'phone', 'facebook', 'reviews']",t,f
5872728,2013-04-11,"Seattle, Washington, United States",,,,f,Belltown,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t
8422684,2013-08-26,"Seattle, Washington, United States",within a day,100%,100%,f,Belltown,1.0,1.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",t,t
4944541,2013-02-03,"Seattle, Washington, United States",within an hour,100%,100%,t,Belltown,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t
4160438,2012-11-15,"San Diego, California, United States",within a few hours,100%,100%,t,East Village,3.0,3.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
453540,2011-03-20,Seattle,within a few hours,86%,100%,f,Belltown,5.0,5.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
35961304,2015-06-16,Seattle/San Fransisco/Taipei,within an hour,97%,100%,f,Belltown,6.0,6.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
16643290,2014-06-10,"Seattle, Washington, United States",,,,f,Lower Queen Anne,1.0,1.0,"['email', 'phone', 'reviews']",t,f
15454102,2014-05-13,"Seattle, Washington, United States",within an hour,100%,100%,f,Belltown,5.0,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
6568374,2013-05-25,"Seattle, Washington, United States",within a few hours,100%,100%,f,Belltown,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
18947211,2014-07-26,"Seattle, Washington, United States",within an hour,100%,100%,t,Belltown,2.0,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t
1002255,2011-08-21,"Tucson, Arizona, United States",within a day,100%,100%,f,Belltown,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
29824474,2015-03-22,"Seattle, Washington, United States",within a few hours,100%,100%,t,Belltown,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t
15942582,2014-05-24,"Seattle, Washington, United States",within an hour,100%,100%,f,Belltown,5.0,5.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t
48638331,2015-11-10,"Seattle, Washington, United States",within an hour,100%,100%,f,Belltown,1.0,1.0,"['email', 'phone', 'reviews']",t,f
22965312,2014-10-25,"Seattle, Washington, United States",within an hour,100%,100%,f,Central Business District,1.0,1.0,"['email', 'phone', 'reviews']",t,f
2617674,2012-06-12,"Sammamish, Washington, United States",,,,t,Belltown,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
1893411,2012-03-10,"Bloomington, Indiana, United States",within a day,100%,,f,Belltown,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",t,f
1118758,2011-09-06,"Seattle, Washington, United States",,,,f,Belltown,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'kba']",t,t
5730719,2013-04-02,"San Diego, California, United States",within an hour,100%,100%,t,Clairemont Mesa East,3.0,3.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",t,t
33164719,2015-05-12,"Seattle, Washington, United States",within a few hours,100%,100%,f,Belltown,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t
25971312,2015-01-11,"Seattle, Washington, United States",within an hour,100%,100%,f,International District,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
1025723,2011-08-27,"Seattle, Washington, United States",within an hour,100%,100%,f,International District,3.0,3.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t
10666831,2013-12-17,"Seattle, Washington, United States",within an hour,100%,100%,f,International District,2.0,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t
